epoch,train_loss,val_loss,lr,time_s,del
126,1.859497e-05,2.494383e-05,6.392759e-05,125.5,-9.027922e-06
127,1.960641e-05,2.033059e-05,6.341546e-05,125.6,-4.414679e-06
128,1.816822e-05,3.118658e-05,6.290180e-05,125.7,-1.527067e-05
129,1.845132e-05,1.688671e-05,6.238667e-05,125.8,-9.707961e-07
130,1.747981e-05,1.554723e-05,6.187015e-05,125.7,3.686801e-07
131,1.748417e-05,2.230015e-05,6.135228e-05,128.4,-6.752922e-06
132,1.773526e-05,1.538840e-05,6.083312e-05,125.5,1.588281e-07
133,1.661157e-05,1.952972e-05,6.031273e-05,128.4,-4.141320e-06
134,1.640223e-05,1.412865e-05,5.979118e-05,125.5,1.259751e-06
135,1.632061e-05,1.480669e-05,5.926851e-05,127.9,-6.780436e-07
136,1.595891e-05,1.946343e-05,5.874479e-05,125.5,-5.334780e-06
137,1.555038e-05,2.723999e-05,5.822009e-05,125.6,-1.311134e-05
138,1.535218e-05,1.667136e-05,5.769445e-05,125.8,-2.542708e-06
139,1.526707e-05,2.080753e-05,5.716794e-05,125.8,-6.678884e-06
140,1.503644e-05,1.960391e-05,5.664061e-05,125.6,-5.475257e-06
141,1.449241e-05,2.330139e-05,5.611254e-05,125.7,-9.172741e-06
142,1.483782e-05,2.873243e-05,5.558377e-05,125.7,-1.460378e-05
143,1.413107e-05,2.183938e-05,5.505437e-05,125.7,-7.710728e-06
144,1.357864e-05,2.449337e-05,5.452439e-05,125.6,-1.036472e-05
145,1.342698e-05,1.720607e-05,5.399391e-05,125.8,-3.077418e-06
146,1.365285e-05,2.415171e-05,5.346297e-05,125.7,-1.002306e-05
147,1.314404e-05,1.425548e-05,5.293164e-05,125.8,-1.268274e-07
148,1.297986e-05,1.394624e-05,5.239997e-05,125.8,1.824092e-07
149,1.259177e-05,1.349891e-05,5.186804e-05,128.3,4.473358e-07
150,1.311093e-05,1.589494e-05,5.133589e-05,128.4,-2.396033e-06
151,1.180134e-05,1.541913e-05,5.080360e-05,125.6,-1.920222e-06
152,1.217204e-05,2.542598e-05,5.027121e-05,125.8,-1.192708e-05
153,1.136905e-05,1.656769e-05,4.973879e-05,125.8,-3.068787e-06
154,1.183780e-05,1.196173e-05,4.920640e-05,125.8,1.537177e-06
155,1.126687e-05,1.166739e-05,4.867411e-05,128.4,2.943347e-07
156,1.124061e-05,1.343849e-05,4.814196e-05,128.4,-1.771097e-06
157,1.135569e-05,1.435549e-05,4.761003e-05,125.6,-2.688100e-06
158,1.108993e-05,1.204891e-05,4.707836e-05,125.8,-3.815147e-07
159,1.048489e-05,9.172322e-06,4.654703e-05,125.7,2.495072e-06
160,1.082938e-05,8.720894e-06,4.601609e-05,128.5,4.514278e-07
161,1.008130e-05,1.183316e-05,4.548561e-05,128.5,-3.112266e-06
162,9.864051e-06,1.492224e-05,4.495563e-05,125.5,-6.201342e-06
163,1.018468e-05,1.205627e-05,4.442623e-05,125.6,-3.335376e-06
164,9.931066e-06,1.604557e-05,4.389746e-05,125.6,-7.324676e-06
165,9.437001e-06,1.255410e-05,4.336939e-05,125.7,-3.833203e-06
166,9.800884e-06,1.273828e-05,4.284206e-05,125.6,-4.017385e-06
167,9.090840e-06,1.112021e-05,4.231555e-05,125.6,-2.399319e-06
168,9.509689e-06,1.255265e-05,4.178991e-05,125.6,-3.831758e-06
169,9.019171e-06,9.052160e-06,4.126521e-05,125.7,-3.312664e-07
170,8.896927e-06,1.363337e-05,4.074149e-05,125.9,-4.912472e-06
171,8.565141e-06,1.129832e-05,4.021882e-05,125.8,-2.577424e-06
172,8.693884e-06,1.261586e-05,3.969727e-05,125.8,-3.894968e-06
173,8.654914e-06,1.093129e-05,3.917688e-05,125.9,-2.210393e-06
174,7.996095e-06,8.915572e-06,3.865772e-05,125.7,-1.946782e-07
175,8.395571e-06,1.250820e-05,3.813985e-05,125.9,-3.787301e-06
176,7.797517e-06,9.747579e-06,3.762333e-05,125.8,-1.026685e-06
177,8.128777e-06,9.385250e-06,3.710820e-05,125.7,-6.643565e-07
178,7.805562e-06,9.393961e-06,3.659454e-05,125.8,-6.730668e-07
179,7.444067e-06,1.116223e-05,3.608241e-05,125.8,-2.441332e-06
180,7.439950e-06,9.270354e-06,3.557185e-05,125.8,-5.494601e-07
181,7.205164e-06,8.501410e-06,3.506292e-05,126.0,2.194843e-07
182,7.363575e-06,8.870059e-06,3.455570e-05,128.5,-3.686494e-07
183,7.166192e-06,7.227227e-06,3.405022e-05,125.6,1.274183e-06
184,7.247224e-06,1.262571e-05,3.354655e-05,128.5,-5.398484e-06
185,6.901493e-06,1.299019e-05,3.304475e-05,125.6,-5.762967e-06
186,6.850338e-06,9.861735e-06,3.254488e-05,125.8,-2.634508e-06
187,6.726934e-06,8.371569e-06,3.204698e-05,125.7,-1.144342e-06
188,6.720596e-06,7.852349e-06,3.155112e-05,125.7,-6.251221e-07
189,6.649598e-06,9.665284e-06,3.105735e-05,125.7,-2.438057e-06
190,6.401271e-06,8.023580e-06,3.056574e-05,125.7,-7.963528e-07
191,6.352468e-06,1.049574e-05,3.007632e-05,125.8,-3.268510e-06
192,6.270857e-06,7.357996e-06,2.958917e-05,125.8,-1.307695e-07
193,6.131539e-06,1.042409e-05,2.910433e-05,125.7,-3.196858e-06
194,6.315568e-06,7.619958e-06,2.862186e-05,125.6,-3.927312e-07
195,6.116800e-06,7.368870e-06,2.814182e-05,125.7,-1.416433e-07
196,6.122004e-06,1.049054e-05,2.766426e-05,125.7,-3.263315e-06
197,5.930581e-06,8.395962e-06,2.718923e-05,125.7,-1.168735e-06
198,5.831867e-06,7.963673e-06,2.671679e-05,125.8,-7.364460e-07
199,5.730616e-06,8.867600e-06,2.624699e-05,125.7,-1.640373e-06
200,5.725119e-06,7.238063e-06,2.577988e-05,125.8,-1.083604e-08
201,5.758580e-06,7.683158e-06,2.531552e-05,125.8,-4.559306e-07
202,5.517489e-06,7.616345e-06,2.485396e-05,125.6,-3.891177e-07
203,5.347134e-06,8.795251e-06,2.439525e-05,125.7,-1.568024e-06
204,5.261380e-06,7.463379e-06,2.393945e-05,125.8,-2.361517e-07
205,5.307689e-06,7.862920e-06,2.348661e-05,125.7,-6.356931e-07
206,5.207650e-06,7.274780e-06,2.303677e-05,125.9,-4.755263e-08
207,4.996441e-06,7.406059e-06,2.258999e-05,125.7,-1.788316e-07
208,5.186974e-06,6.743431e-06,2.214632e-05,125.7,4.837960e-07
209,4.958649e-06,7.592724e-06,2.170581e-05,128.5,-8.492932e-07
210,4.999668e-06,7.144636e-06,2.126850e-05,125.7,-4.012051e-07
211,4.916973e-06,7.228272e-06,2.083446e-05,125.9,-4.848407e-07
212,4.894187e-06,7.607880e-06,2.040373e-05,125.7,-8.644494e-07
213,4.772157e-06,6.524389e-06,1.997635e-05,125.7,2.190422e-07
214,4.719162e-06,6.591813e-06,1.955238e-05,128.5,-6.742378e-08
215,4.665263e-06,7.175119e-06,1.913186e-05,125.5,-6.507301e-07
216,4.689035e-06,6.307640e-06,1.871484e-05,125.7,2.167483e-07
217,4.531154e-06,6.153972e-06,1.830137e-05,128.5,1.536688e-07
218,4.356370e-06,8.002429e-06,1.789150e-05,128.5,-1.848457e-06
219,4.472015e-06,7.296228e-06,1.748527e-05,125.5,-1.142256e-06
220,4.474589e-06,6.387069e-06,1.708272e-05,125.6,-2.330975e-07
221,4.415339e-06,6.382371e-06,1.668391e-05,125.7,-2.283988e-07
222,4.236097e-06,7.569373e-06,1.628888e-05,125.8,-1.415401e-06
223,4.300569e-06,8.684975e-06,1.589768e-05,125.8,-2.531003e-06
224,4.272842e-06,6.385081e-06,1.551034e-05,125.7,-2.311090e-07
225,4.142992e-06,6.539673e-06,1.512691e-05,125.9,-3.857018e-07
226,4.045008e-06,7.336071e-06,1.474744e-05,125.7,-1.182099e-06
227,4.229886e-06,7.531319e-06,1.437197e-05,125.7,-1.377347e-06
228,4.278520e-06,7.052682e-06,1.400054e-05,125.8,-8.987107e-07
229,4.201890e-06,5.993056e-06,1.363319e-05,125.7,1.609157e-07
230,4.160248e-06,6.253558e-06,1.326997e-05,128.6,-2.605016e-07
231,4.057869e-06,6.974746e-06,1.291091e-05,125.5,-9.816902e-07
232,4.131607e-06,6.076107e-06,1.255606e-05,125.8,-8.305059e-08
233,3.965174e-06,6.144101e-06,1.220546e-05,125.8,-1.510446e-07
234,3.959521e-06,6.094413e-06,1.185914e-05,125.8,-1.013574e-07
235,3.827142e-06,6.245656e-06,1.151715e-05,125.7,-2.526001e-07
236,3.962256e-06,6.319905e-06,1.117952e-05,125.7,-3.268486e-07
237,3.827815e-06,6.599308e-06,1.084630e-05,125.7,-6.062523e-07
238,3.839142e-06,6.214816e-06,1.051752e-05,125.7,-2.217601e-07
239,3.715122e-06,5.813102e-06,1.019322e-05,125.6,1.799538e-07
240,3.757538e-06,5.852688e-06,9.873432e-06,128.1,-3.958596e-08
241,3.754140e-06,5.787608e-06,9.558195e-06,125.7,2.549413e-08
242,3.639866e-06,5.600500e-06,9.247546e-06,128.1,1.871080e-07
243,3.704513e-06,5.840596e-06,8.941519e-06,128.5,-2.400957e-07
244,3.644626e-06,5.879110e-06,8.640149e-06,125.7,-2.786101e-07
